full_text,fold,label_1,label_2,label_3,majority_vote,tie_break,gold_label
"#Βουλή: Κοινή Συνεδρίαση Επιτροπών Ευρωπαϊκών Υποθέσεων και Εθνικής Άμυνας &amp; Εξωτερικών Υποθέσεων - Ενημέρωση από τον @EP_President David Maria Sassoli

🆕 https://t.co/yjhmxqZwo9

#Ευρώπη #Τουρκία https://t.co/EtmuCyJUIt",0,0,0,0,0,,0
"Στη σημερινή διαδικτυακή ημερίδα της ΕΛΕΤΑΕΝ συζητησαμε για τις καθοριστικές αλλαγές που πρέπει να πραγματοποιήσει και η Ελλάδα στην προσπάθεια ανάσχεσης της κλιματικής αλλαγής,με τη μετάβαση σε ένα πιο «πράσινο» &amp; καθαρό ενεργειακό μείγμα να αποτελεί το μεγάλο μας στοίχημα (1/3) https://t.co/0iVlEWZLYj",0,1,1,0,1,,1
"Στις πόσες λαθροχειρίες της κυβέρνησης, στα πόσα ψέματα, στις πόσες αλχημείες ξυπνάει η συνείδηση των βουλευτών της συμπολίτευσης; 

Η ομιλία μου στη #vouli για τη συζήτηση και ψήφιση του σχεδίου νόμου για την εκλογή Δημοτικών και Περιφερειακών Αρχών.👇🏻👇🏻

https://t.co/oqb1FFI9Vi",3,0,-1,-1,-1,,-1
Εποχή Μητσοτάκη... Στις συνεντεύξεις του μας λέει ότι είναι και «προοδευτικός». https://t.co/4S5vI9mho6,1,-1,-1,-1,-1,,-1
"ΣΩΠΑΣΕ ΚΥΡΑ ΔΕΣΠΟΙΝΑ ΚΑΙ ΜΗΝ ΠΟΛΥΔΑΚΡΥΖΕΙΣ ΠΑΛΙ ΜΕ ΧΡΟΝΙΑ ΜΕ ΚΑΙΡΟΥΣ ΠΑΛΙ ΔΙΚΑ ΜΑΣ ΘΑΝΑΙ!
@ellinikilisi https://t.co/wDQb1guAjs",1,1,1,1,1,,1
Ο Σπύρος είναι ένας εκπληκτικός άνθρωπος. Μπράβο του για όσα κάνει!  https://t.co/pIHnNnY3YY,2,1,1,1,1,,1
«Ο σεβασμός της διαφορετικότητας είναι δημοκρατικό και ηθικό χρέος όλων μας» https://t.co/rLlUhNXKOA,1,1,0,1,1,,1
"Δημόσιες Συμβάσεις : Ένα Νομοσχέδιο κατώτερο των περιστάσεων @Arvanitidis_Geo @kinimallagis #Βουλή #Νομοσχέδιο #δημοσιεςΣυμβασεις

https://t.co/je11pbCWkN",4,-1,-1,-1,-1,,-1
"Σήμερα, στις 14:30 στο κεντρικό μαγκαζίνο του Αθήνα 9,84 και στη δημοσιογράφο Κατερίνα Παπαβασιλείου. https://t.co/hpvD286DtD",0,0,0,0,0,,0
"Η χώρα δεν παράγει πλούτο, παράγει μόνο χρέη! Διαπράξατε έγκλημα κατά του έθνους! @velopky @ellinikilisi https://t.co/8R5IFozMYG",0,-1,-1,-1,-1,,-1
"Σας ευχαριστώ θερμά για τις ευχές σας, για την ονομαστική μου εορτή https://t.co/FJV6769CkG",3,1,1,1,1,,1
"Άλλη μια δικαιωσημας:ευρωπαίοι πολιτικοί, όπως ο γερμανός υπουργός Υγείας Γενς Σπαν τάσσονται υπέρ της αγοράς του ρωσικού εμβολίου Sputnik V. Από τις αρχές Μαρτίου ο Ευρωπαϊκός Οργανισμός Φαρμάκων EMA εξετάζει το εμβόλιο.Εάν άκουγε η ΝΔ @ellinikilisi από Σεπτέμβριο θα τα είχαμε. https://t.co/hBMhCWa4wZ",2,-1,1,-1,-1,,-1
"Είμαστε μπροστά στο τέταρτο και άκρως μεταδοτικό νέο κύμα της πανδημίας. Η χώρα πρέπει να προστατευτεί χωρίς να ξανακλείσει και οι πολίτες πρέπει να προστατευτούν χωρίς να ξανα-εγκλειστούν. Γιατί κάτι τέτοιο δεν το αντέχει ούτε η κοινωνία, ούτε η οικονομία. #ant1 #KalokairiMazi https://t.co/VcDcgm9wC1",3,1,-1,0,TIE,0,0
Συνάντηση με τον Υπουργό Ναυτιλίας για την ακτοπλοϊκή σύνδεση της Νότιας Καρυστίας με τις Κυκλάδες https://t.co/O4SggDSezY,1,0,0,0,0,,0
"Τα αγροτικά προϊόντα της Φθιώτιδας στις αγορές του κόσμου. Με αυτό τον στόχο συναντήθηκα με τον Υφυπουργό για την Οικονομική Διπλωματία και την Εξωστρέφεια κ. Κώστα Φραγκογιάννη και τον Πρόεδρο της Enterprise Greece κ. Γιάννη Σμυρλή: https://t.co/QNJpat1067
#metonThemi https://t.co/XVIFkd8bex",3,1,1,0,1,,1
"Η αποκατάσταση των ζημιών που υπέστησαν οι αγρότες μας στην παραγωγή τους, πρέπει να είναι άμεση και ολοκληρωτική. https://t.co/wzGw6oD3RE",1,1,0,1,1,,1
