,id,text,clean,emotion_x,emotion_y,2nd_emotions_x,2nd_emotions_y,keep,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,none,sentiment,negative,positive,neutral
0,1180177509461180416,@kmitsotakis Συμβαίνει το εξής αφύσικο. Άλλοι να πληρώνουν την ΔΕΗ  και αντί νά εχουν έκπτωση να έχουν επιβάρυνση.,Συμβαίνει το εξής αφύσικο. Άλλοι να πληρώνουν την ΔΕΗ και αντί νά εχουν έκπτωση να έχουν επιβάρυνση.,disgust,disgust,anger,anger,"['disgust', 'anger']",1,0,1,0,0,0,0,0,0,negative,1,0,0
1,1163932355427557376,Παραγωγής Nova όλος ο πρώτος γύρος της Super League - https://t.co/zctG1eP4SW https://t.co/Vzsl6QXSx0,Παραγωγής Nova όλος ο πρώτος γύρος της Super League -,none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
2,1085839609425264640,Διπλές αυξήσεις στα τιμολόγια ρεύματος για να μην&#8230;&#8230; φαλιρίσει η ΔΕΗ  #rthess  https://t.co/2NtvC6Ku59,Διπλές αυξήσεις στα τιμολόγια ρεύματος για να μην&#8230;&#8230; φαλιρίσει η ΔΕΗ #rthess,none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
3,1176185420427739140,AgrinioPress: Δεύτερη ευκαιρία στους αγρότες για τη ρύθμιση οφειλών προς τη ΔΕΗ - https://t.co/uqoIJQAWo0 https://t.co/Jsjd7RWJo9,AgrinioPress: Δεύτερη ευκαιρία στους αγρότες για τη ρύθμιση οφειλών προς τη ΔΕΗ -,none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
4,1090349706335711233,"νταξ με τους κανονικούς ανθρώπους στις διαφημίσεις,αλλά πολύ μουσταρδί τα δόντια του τύπου σε αυτό το cosmote insurance ρε παιδιά.","νταξ με τους κανονικούς ανθρώπους στις διαφημίσεις,αλλά πολύ μουσταρδί τα δόντια του τύπου σε αυτό το cosmote insurance ρε παιδιά.",disgust,disgust,surprise,other,['disgust'],0,0,1,0,0,0,0,0,0,negative,1,0,0
5,1226894510283743232,«Παράσιτα»: Ο μεγάλος νικητής των φετινών Οσκαρ έρχεται απόψε σε Α’ τηλεοπτική μετάδοση στην Cosmote TV [βίντεο] #oscar #oscars #oscars2020 #iefimerida https://t.co/Qg1UbmCTBY,«Παράσιτα»: Ο μεγάλος νικητής των φετινών Οσκαρ έρχεται απόψε σε Α’ τηλεοπτική μετάδοση στην Cosmote TV [βίντεο] #oscar #oscars #oscars2020 #iefimerida,none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
6,1242900257740070912,"@nagapit @COSMOTE Και φακελωμα , και εσοδα Εμ σαμπου , εμ κοντισιονερ  2 μυρια μηνυματα σε 2 μερες ...  #ΜεταΘαΛογαριαστουμε  ","Και φακελωμα , και εσοδα Εμ σαμπου , εμ κοντισιονερ 2 μυρια μηνυματα σε 2 μερες ... #ΜεταΘαΛογαριαστουμε",anger,disgust,disgust,other,['disgust'],0,0,1,0,0,0,0,0,0,negative,1,0,0
7,1107335790412079105,"Σε λίγο η εκπομπή ""Το Μαξίμου Ακούει;"" με τον Αχαιό Νίκο Νικολόπουλο ξεκινά. Δείτε ζωντανά μέσα από την συχνότητα του Kontra Channel αλλά και διαδικτυακά  https://t.co/yq88S3cELR , μέσα από το NOVA και φυσικά μέσα από τα sites https://t.co/pTLa6lPACW & https://t.co/XYZjqDMyji","Σε λίγο η εκπομπή ""Το Μαξίμου Ακούει;"" με τον Αχαιό Νίκο Νικολόπουλο ξεκινά. Δείτε ζωντανά μέσα από την συχνότητα του Kontra Channel αλλά και διαδικτυακά , μέσα από το NOVA και φυσικά μέσα από τα sites &",none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
8,1150533563097505792,"ΔΕΗ – Αν λέει αλήθεια ο διευθύνων σύμβουλος της ΔΕΔΔΗΕ, θα παρέμβει ο εισαγγελέας για την φήμες «κατάρρευσης» της μεγαλύτερης εισηγμένης εταιρίας στο χρηματιστήριο για χειραγώγηση; https://t.co/rHxgXhYem5 https://t.co/QyFrVraO1C","ΔΕΗ – Αν λέει αλήθεια ο διευθύνων σύμβουλος της ΔΕΔΔΗΕ, θα παρέμβει ο εισαγγελέας για την φήμες «κατάρρευσης» της μεγαλύτερης εισηγμένης εταιρίας στο χρηματιστήριο για χειραγώγηση;",none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
9,1243205771845869569,"https://t.co/EoHIVpaAwi Η Τράπεζα της Ελλάδος ενισχύει τον Εθνικό Οργανισμό Δημόσιας Υγείας (ΕΟΔΥ) με το ποσό των 5.000.000 ευρώ. Το ποσό θα διατεθεί για την προμήθεια νοσοκομειακού εξοπλισμού και υγειονομικού υλικού.  Το Γενικό Συμβούλιο της Τράπεζας της Ελλάδος, το οποίο σ... https://t.co/MnhPfTOuWo","Η Τράπεζα της Ελλάδος ενισχύει τον Εθνικό Οργανισμό Δημόσιας Υγείας (ΕΟΔΥ) με το ποσό των 5.000.000 ευρώ. Το ποσό θα διατεθεί για την προμήθεια νοσοκομειακού εξοπλισμού και υγειονομικού υλικού. Το Γενικό Συμβούλιο της Τράπεζας της Ελλάδος, το οποίο σ...",none,none,none,none,"['none', 'none']",0,0,0,0,0,0,0,0,1,neutral,0,0,1
